RNA_VS_library	CID_1	HCV_validation_set	Max_TC	CID_2
CN(CCCO)CC1COC2=CC=CC=C2O1	Z105600182	CCN(CC)CCOC1=CC=C(C=C1)NC2=NC(=NC3=CC=CC=C32)C4=CC=CC=C4NC(=O)CCN5CCN(CC5)C	0.346813725490196	Compound 1 (2017)
CC(O)CC(SC1=NC=CN1C)C(=O)O	Z351646904	CCN(CC)CCOC1=CC=C(C=C1)NC2=NC(=NC3=CC=CC=C32)C4=CC=CC=C4NC(=O)CCN5CCN(CC5)C	0.346793349168646	Compound 1 (2017)
C1=COC(=C1)CN(CC2=CSC=N2)CC=3C=CC=CC3	Z106124000	C[NH+](C)CC1CC2=C3N4CC(C[NH+](C)C)CNC4=[NH+]C3=CC=C2O1	0.346739130434783	Isis-22
CCOC(=O)CCC(C)=CC1=CN=C(N)C=N1	Z6924247448	NCCCCC(C(=O)OCO[C@H]1C[C@@H](O[C@@H]1COCOC(=O)C(CCCCN)N)C(=O)Nc1cccc(c1)c1csc(n1)NC(=O)C)N	0.346666666666667	Compound 3b
Cl.COC1=NSC(OC)=C1CN	Z3024739246	C[NH+](C)CC1CC2=C3N4CC(C[NH+](C)C)CNC4=[NH+]C3=CC=C2O1	0.346609257265877	Isis-22
O=C(O)C(F)(F)F.CCC=CCCN1CC(N)CC(C1)C(=O)O	Z3775295414	CN1CCN(CC1)CCCNc1nc2cc(ccc2nc1NCCCc1ccc(cc1)NC(=O)CCCCC1SCC2C1NC(=O)N2)[N+](=O)O	0.346511627906977	Compound 4c
OC(CN1C=CC=N1)CN2N=NC(=N2)C3=CSC=N3	Z2983055475	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.346496815286624	Compound 2ab
CC=1N=CC(C)=C(N1)NCCC(=O)O	Z2607134850	C[NH+](C)CC1CC2=C3N4CC(C[NH+](C)C)CNC4=[NH+]C3=CC=C2O1	0.346491228070175	Isis-22
CC(NC(N)=O)C1=NOC(=N1)C2CCC3CCCCC3C2	Z2193908714	O=C(c1ccc(cc1)C(=O)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1	0.34625322997416	Compound 9
Cl.NC1CC=2C=CC(=CC2C1)C(=O)O	Z1508939334	c1c2OC[C@@H](Cc2c2c(c1)N=C1[C@H]2C[C@@H](CN1)CN(C)C)CN(C)C	0.346238938053097	Benzimidazole13ibis
