RNA_VS_library	CID_1	HCV_validation_set	Max_TC	CID_2
O=C(NC1=CC(NC(=O)NC2=C(C=CC(=C2)C(=O)NC2=CC=C(C=C2)C2=[NH+]CCN2)C(=O)NC2=CC=C(C=C2)C2=[NH+]CCN2)=CC=C1)NC1=C(C=CC(=C1)C(=O)NC1=CC=C(C=C1)C1=[NH+]CCN1)C(=O)NC1=CC=C(C=C1)C1=[NH+]CCN1	R-BIND_LM_0035	O=C(Nc1cc(ccc1C(=O)Nc1ccc(cc1)C1=NCCN1)C(=O)Nc1ccc(cc1)C1=NCCN1)Nc1cccc(c1)NC(=O)Nc1cc(ccc1C(=O)Nc1ccc(cc1)C1=NCCN1)C(=O)Nc1ccc(cc1)C1=NCCN1	1	Compound 7
CC[NH+](CC)CCOC1=CC=C(NC2=NC(=NC3=CC=CC=C23)C2=C(NC(=O)CC[NH+]3CCN(C)CC3)C=CC=C2)C=C1	R-BIND_SM_0068	CCN(CC)CCOC1=CC=C(C=C1)NC2=NC(=NC3=CC=CC=C32)C4=CC=CC=C4NC(=O)CCN5CCN(CC5)C	1	Compound 1 (2017)
O=C(NC1=CC=C(C=C1)C1=[NH+]CCN1)C1=CC(=CC(=C1)C(=O)NC1=CC=C(C=C1)C1=[NH+]CCN1)C(=O)NC1=CC=C(C=C1)C1=[NH+]CCN1	R-BIND_SM_0151	O=C(c1cc(cc(c1)C(=O)Nc1ccc(cc1)C1=NCCN1)C(=O)Nc1ccc(cc1)C1=NCCN1)Nc1ccc(cc1)C1=NCCN1	1	Compound 8
O=C(NC1=CC(=CC=C1)C1=[NH+]CCN1)C1=CC=C(C=C1)C1=CC=C(C=C1)C(=O)NC1=CC=CC(=C1)C1=[NH+]CCN1	R-BIND_SM_0152	O=C(c1ccc(cc1)c1ccc(cc1)C(=O)Nc1cccc(c1)C1=NCCN1)Nc1cccc(c1)C1=NCCN1	1	Compound 10
c1c2OC[C@@H](Cc2c2c(c1)N=C1[C@H]2C[C@@H](CN1)CN(C)C)CN(C)C 	Target_lig_225	c1c2OC[C@@H](Cc2c2c(c1)N=C1[C@H]2C[C@@H](CN1)CN(C)C)CN(C)C	1	Benzimidazole13ibis
CN(C)CCCN1C2=C(C=CC(=C2)OCCCN(C)C)N=C1N 	Target_lig_226	CN(C)CCCN1C2=C(C=CC(=C2)OCCCN(C)C)N=C1N	1	Benzimidazole3ibis
c1cc(ccc1C(=O)C)C(=O)N[C@H](C(=O)N1C[C@H](C[C@H](C1)N)N)CCCNC(=N)N 	Target_lig_501	c1cc(ccc1C(=O)C)C(=O)N[C@H](C(=O)N1C[C@H](C[C@H](C1)N)N)CCCNC(=N)N	1	benzamide derivative
C[NH+](C)CCCN1C(N)=[NH+]C2=CC=C3OC(C[NH+](C)C)=CC3=C12 	Target_lig_688	C[NH+](C)CCCN1C(N)=[NH+]C2=CC=C3OC(C[NH+](C)C)=CC3=C12	1	IRAB
C[NH+](C)CCCOC1=CC=C2N=C3NCC(C[NH+](C)C)CN3C2=C1 	Target_lig_689	C[NH+](C)CCCOC1=CC=C2N=C3NCC(C[NH+](C)C)CN3C2=C1	1	Benzimidazole 10
C[NH+](C)CCCN1C(N)=[NH+]C2=CC=C3OC(CC[NH+](C)C)CC3=C12 	Target_lig_690	C[NH+](C)CCCN1C(N)=[NH+]C2=CC=C3OC(CC[NH+](C)C)CC3=C12	1	Benzimidazole 11 / Isis-11
C[NH+](C)CCCN1C(N)=[NH+]C2=CC=C3OCC(C[NH+](C)C)CC3=C12 	Target_lig_691	C[NH+](C)CCCN1C(N)=[NH+]C2=CC=C3OCC(C[NH+](C)C)CC3=C12	1	Benzimidazole 12
C[NH+](C)CC1CC2=C3N4CC(C[NH+](C)C)CNC4=[NH+]C3=CC=C2O1 	Target_lig_692	C[NH+](C)CC1CC2=C3N4CC(C[NH+](C)C)CNC4=[NH+]C3=CC=C2O1	1	Isis-22
CCN(CC)CCOC1=CC=C(C=C1)NC2=NC(=NC3=CC=CC=C32)C4=CC=CC=C4NC(=O)CCN5CCN(CC5)C 	Target_lig_707	CCN(CC)CCOC1=CC=C(C=C1)NC2=NC(=NC3=CC=CC=C32)C4=CC=CC=C4NC(=O)CCN5CCN(CC5)C	1	Compound 1 (2017)
CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1 	Target_lig_710	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	1	Compound 2ab
C(CN1C=C(CNC2=C3C=CC=CC3=[NH+]C3=C2OC2=C3C=CC=C2)N=N1)C[NH+]1CCCCC1 	Target_lig_723	C(CN1C=C(CNC2=C3C=CC=CC3=[NH+]C3=C2OC2=C3C=CC=C2)N=N1)C[NH+]1CCCCC1	1	Quindoline CK1-14
CN1CCN(CC1)CCCNc1nc2cc(ccc2nc1NCCCc1ccc(cc1)NC(=O)/C=C/c1ccc(cc1)N(C)C)[N+](=O)O 	Target_lig_1088	CN1CCN(CC1)CCCNc1nc2cc(ccc2nc1NCCCc1ccc(cc1)NC(=O)/C=C/c1ccc(cc1)N(C)C)[N+](=O)O	1	Compound 4d
CN(CCCNc1nc2cc(ccc2nc1NCCCc1ccc(cc1)NC(=O)CCCCC1SCC2C1NC(=O)N2)[N+](=O)O)C 	Target_lig_1090	CN(CCCNc1nc2cc(ccc2nc1NCCCc1ccc(cc1)NC(=O)CCCCC1SCC2C1NC(=O)N2)[N+](=O)O)C	1	Compound 4a
CN(CCCOc1ccc2c(c1)n1CC(CNc1n2)CN(C)C)C	Target_lig_1141	C[NH+](C)CCCOC1=CC=C2N=C3NCC(C[NH+](C)C)CN3C2=C1	1	Benzimidazole 10
CN(CCCn1c(N)nc2c1c1CC(COc1cc2)CN(C)C)C	Target_lig_1143	C[NH+](C)CCCN1C(N)=[NH+]C2=CC=C3OCC(C[NH+](C)C)CC3=C12	1	Benzimidazole 12
C[NH+](C)CCCOC1=CC=C2[NH+]=C(N)N(CCC[NH+](C)C)C2=C1 	Target_lig_1256	CN(C)CCCN1C2=C(C=CC(=C2)OCCCN(C)C)N=C1N	1	Benzimidazole3ibis
C[NH+](C)CC1CNC2=[NH+]C3=CC=C4OCC(C[NH+](C)C)CC4=C3N2C1 	Target_lig_1257	c12ccc3c(c1C[C@H](CO2)CN(C)C)n1c(n3)NC[C@H](C1)CN(C)C	1	dimethylamine_derivative
CC1(COC(C(C1NC)O)OC2C(CC(C(C2O)OC3C(CC=C(O3)CN)N)N)N)O 	Target_lig_1269	CC1(COC(C(C1NC)O)OC2C(CC(C(C2O)OC3C(CC=C(O3)CN)N)N)N)O	1	sisomicin
CC1(COC(C(C1NC)O)OC2C(CC(C(C2O)OC3C(CC=C(O3)CN)N)N)N)O	Target_lig_1432	CC1(COC(C(C1NC)O)OC2C(CC(C(C2O)OC3C(CC=C(O3)CN)N)N)N)O	1	sisomicin
NCCCCC(C(=O)OCO[C@H]1C[C@@H](O[C@@H]1COCOC(=O)C(CCCCN)N)C(=O)Nc1cccc(c1)c1csc(n1)NC(=O)C)N	Target_lig_1591	NCCCCC(C(=O)OCO[C@H]1C[C@@H](O[C@@H]1COCOC(=O)C(CCCCN)N)C(=O)Nc1cccc(c1)c1csc(n1)NC(=O)C)N	1	Compound 3b
NCCCCC(C(=O)OCO[C@H]1CC(O[C@@H]1COCOC(=O)C(CCCCN)N)C(=O)Nc1cccc(c1)c1csc(n1)NC(=O)C)N	Target_lig_1595	NCCCCC(C(=O)OCO[C@H]1C[C@@H](O[C@@H]1COCOC(=O)C(CCCCN)N)C(=O)Nc1cccc(c1)c1csc(n1)NC(=O)C)N	1	Compound 3b
CN1CCN(CC1)CCCNc1nc2cc(ccc2nc1NCCCc1ccc(cc1)NC(=O)/C=C/c1ccc(cc1)N(C)C)[N+](=O)O	Target_lig_1682	CN1CCN(CC1)CCCNc1nc2cc(ccc2nc1NCCCc1ccc(cc1)NC(=O)/C=C/c1ccc(cc1)N(C)C)[N+](=O)O	1	Compound 4d
CN(CCCNc1nc2cc(ccc2nc1NCCCc1ccc(cc1)NC(=O)CCCCC1SCC2C1NC(=O)N2)[N+](=O)O)C	Target_lig_1684	CN(CCCNc1nc2cc(ccc2nc1NCCCc1ccc(cc1)NC(=O)CCCCC1SCC2C1NC(=O)N2)[N+](=O)O)C	1	Compound 4a
CN1CCN(CC1)CCCNc1nc2cc(ccc2nc1NCCCc1ccc(cc1)NC(=O)CCCCC1SCC2C1NC(=O)N2)[N+](=O)O	Target_lig_1685	CN1CCN(CC1)CCCNc1nc2cc(ccc2nc1NCCCc1ccc(cc1)NC(=O)CCCCC1SCC2C1NC(=O)N2)[N+](=O)O	1	Compound 4c
NCCCCC(C(=O)OCOC[C@H]1OC(C[C@@H]1O)C(=O)Nc1cccc(c1)c1csc(n1)NC(=O)C)N 	Target_lig_1003	NCCCCC(C(=O)OCO[C@H]1C[C@@H](O[C@@H]1COCOC(=O)C(CCCCN)N)C(=O)Nc1cccc(c1)c1csc(n1)NC(=O)C)N	0.968992248062015	Compound 3b
NCCCCC(C(=O)OCOC[C@H]1O[C@H](C[C@@H]1O)C(=O)Nc1cccc(c1)c1csc(n1)NC(=O)C)N	Target_lig_1590	NCCCCC(C(=O)OCO[C@H]1C[C@@H](O[C@@H]1COCOC(=O)C(CCCCN)N)C(=O)Nc1cccc(c1)c1csc(n1)NC(=O)C)N	0.968992248062015	Compound 3b
NCCCCC(C(=O)OCOC[C@H]1OC(C[C@@H]1O)C(=O)Nc1cccc(c1)c1csc(n1)NC(=O)C)N	Target_lig_1594	NCCCCC(C(=O)OCO[C@H]1C[C@@H](O[C@@H]1COCOC(=O)C(CCCCN)N)C(=O)Nc1cccc(c1)c1csc(n1)NC(=O)C)N	0.968992248062015	Compound 3b
CC(=O)Nc1scc(n1)c1cccc(c1)NC(=O)[C@H]1C[C@@H]([C@H](O1)COCOC(=O)C(CCCN=C(N)N)N)OCOC(=O)C(CCCN=C(N)N)N	Target_lig_1593	NCCCCC(C(=O)OCO[C@H]1C[C@@H](O[C@@H]1COCOC(=O)C(CCCCN)N)C(=O)Nc1cccc(c1)c1csc(n1)NC(=O)C)N	0.966101694915254	Compound 3b
CC(=O)Nc1scc(n1)c1cccc(c1)NC(=O)[C@H]1C[C@@H]([C@H](O1)COCOC(=O)C(CCCN=C(N)N)N)O 	Target_lig_1001	NCCCCC(C(=O)OCO[C@H]1C[C@@H](O[C@@H]1COCOC(=O)C(CCCCN)N)C(=O)Nc1cccc(c1)c1csc(n1)NC(=O)C)N	0.935969868173258	Compound 3b
CC(=O)Nc1scc(n1)c1cccc(c1)NC(=O)[C@H]1C[C@@H]([C@H](O1)COCOC(=O)C(CCCN=C(N)N)N)O	Target_lig_1592	NCCCCC(C(=O)OCO[C@H]1C[C@@H](O[C@@H]1COCOC(=O)C(CCCCN)N)C(=O)Nc1cccc(c1)c1csc(n1)NC(=O)C)N	0.935969868173258	Compound 3b
CCNC1CC(C(C(C1OC2C(C(C(CO2)(C)O)NC)O)O)OC3C(CC=C(O3)CN)N)N 	Target_lig_1271	CC1(COC(C(C1NC)O)OC2C(CC(C(C2O)OC3C(CC=C(O3)CN)N)N)N)O	0.921824104234528	sisomicin
CCNC1CC(C(C(C1OC2C(C(C(CO2)(C)O)NC)O)O)OC3C(CC=C(O3)CN)N)N	Target_lig_1437	CC1(COC(C(C1NC)O)OC2C(CC(C(C2O)OC3C(CC=C(O3)CN)N)N)N)O	0.921824104234528	sisomicin
CN(CCCn1c(N)nc2c1c1CC(Oc1cc2)CN(C)C)C	Target_lig_1142	C[NH+](C)CC1CC2=C3N4CC(C[NH+](C)C)CNC4=[NH+]C3=CC=C2O1	0.911196911196911	Isis-22
C[NH+]1CCN(CCCNC2=NC3=CC(=CC=C3N=C2NCC2=CC=C(NC(=O)CCCCC3SCC4NC(=O)NC34)C=C2)[N+]([O-])=O)CC1	R-BIND_SM_0145	CN1CCN(CC1)CCCNc1nc2cc(ccc2nc1NCCCc1ccc(cc1)NC(=O)CCCCC1SCC2C1NC(=O)N2)[N+](=O)O	0.907613344739093	Compound 4c
C[NH+](C)CCCNC1=NC2=CC(=CC=C2N=C1NCC1=CC=C(NC(=O)CCCC[C@H]2SCC3NC(=O)NC23)C=C1)[N+]([O-])=O	R-BIND_SM_0144	CN(CCCNc1nc2cc(ccc2nc1NCCCc1ccc(cc1)NC(=O)CCCCC1SCC2C1NC(=O)N2)[N+](=O)O)C	0.903729401561145	Compound 4a
C1CN=C(N1)C2=CC(=CC=C2)NC(=O)C3=CC(=CC=C3)C(=O)NC4=CC=CC(=C4)C5=NCCN5 	Target_lig_982	O=C(c1ccc(cc1)C(=O)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1	0.868274582560297	Compound 9
O=C(c1cccc(c1)C(=O)Nc1cccc(c1)C1=NCCN1)Nc1cccc(c1)C1=NCCN1	Target_lig_1573	O=C(c1ccc(cc1)C(=O)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1	0.868274582560297	Compound 9
CN(C)C1=CC=C(C=CC(=O)NC2=CC=C(CNC3=NC4=CC=C(C=C4N=C3NCCCN3CC[NH+](C)CC3)[N+]([O-])=O)C=C2)C=C1	R-BIND_SM_0142	CN1CCN(CC1)CCCNc1nc2cc(ccc2nc1NCCCc1ccc(cc1)NC(=O)/C=C/c1ccc(cc1)N(C)C)[N+](=O)O	0.867293625914316	Compound 4d
O([C@@H]1[C@@H](O)[C@@H](O[C@H]2O[C@@H](CC[C@H]2N)CN)[C@@H](N)C[C@H]1N)[C@H]1OC[C@](O)([C@H](NC)[C@H]1O)C 	Target_lig_144	CC1(COC(C(C1NC)O)OC2C(CC(C(C2O)OC3C(CC=C(O3)CN)N)N)N)O	0.833137485311398	sisomicin
CC(C1CCC(C(O1)OC2C(CC(C(C2O)OC3C(C(C(CO3)(C)O)NC)O)N)N)N)N 	Target_lig_137	CC1(COC(C(C1NC)O)OC2C(CC(C(C2O)OC3C(CC=C(O3)CN)N)N)N)O	0.828271028037383	sisomicin
CC(C1C(C(C(C(O1)OC2C(CC(C(C2O)OC3C(C(C(CO3)(C)O)NC)O)N)N)N)O)O)O	Target_lig_1440	CC1(COC(C(C1NC)O)OC2C(CC(C(C2O)OC3C(CC=C(O3)CN)N)N)N)O	0.81350114416476	sisomicin
CC1(COC(C(C1NC)O)OC2C(CC(C(C2O)O)N)N)O 	Target_lig_142	CC1(COC(C(C1NC)O)OC2C(CC(C(C2O)OC3C(CC=C(O3)CN)N)N)N)O	0.810365135453475	sisomicin
CC(C1CCC(C(O1)OC2C(CC(C(C2O)OC3C(C(C(CO3)(C)O)NC)O)N)N)N)NC 	Target_lig_138	CC1(COC(C(C1NC)O)OC2C(CC(C(C2O)OC3C(CC=C(O3)CN)N)N)N)O	0.804077010192525	sisomicin
CC(C1CCC(C(O1)OC2C(CC(C(C2O)OC3C(C(C(CO3)(C)O)NC)O)N)N)N)NC 	Target_lig_1270	CC1(COC(C(C1NC)O)OC2C(CC(C(C2O)OC3C(CC=C(O3)CN)N)N)N)O	0.804077010192525	sisomicin
CC(C1CCC(C(O1)OC2C(CC(C(C2O)OC3C(C(C(CO3)(C)O)NC)O)N)N)N)NC	Target_lig_1435	CC1(COC(C(C1NC)O)OC2C(CC(C(C2O)OC3C(CC=C(O3)CN)N)N)N)O	0.804077010192525	sisomicin
CC1(COC(C(C1NC)O)OC2C(CC(C(C2O)OC3C(C(C(C(O3)CN)O)O)O)N)N)O 	Target_lig_139	CC1(COC(C(C1NC)O)OC2C(CC(C(C2O)OC3C(CC=C(O3)CN)N)N)N)O	0.803240740740741	sisomicin
CC(C)C(NC(=O)C=1C=CC(=CC1)C(C)(C)C)C(=O)N2CCC(CC2)C(N)=O	Z30899966	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.774914089347079	Compound 2ab
CN(CCCNc1nc2cc(ccc2nc1NCCCN1CCN(CC1)C)[N+](=O)O)C	Target_lig_1683	CN1CCN(CC1)CCCNc1nc2cc(ccc2nc1NCCCc1ccc(cc1)NC(=O)/C=C/c1ccc(cc1)N(C)C)[N+](=O)O	0.765446224256293	Compound 4d
O=C(NC1CCCN(C1)C(=O)C2CCC(N2)C3CC3)C=4C=CC5=CC=CC=C5C4	Z2488646599	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.760904684975767	Compound 2ab
CN(CCCn1c(N)nc2c1cccc2)C	Target_lig_1140	CN(C)CCCN1C2=C(C=CC(=C2)OCCCN(C)C)N=C1N	0.760135135135135	Benzimidazole3ibis
CC=1C=CC(=CC1)C(=O)NC(C(=O)N2CCC(CC2)C(=O)C=3C=CC=CC3)C(C)C	Z229947616	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.752442996742671	Compound 2ab
CCC(=O)N1CCC(C1)NC(=O)C2CCCCN2C(=O)C=3C=CC=CC3	Z1427085779	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.752012882447665	Compound 2ab
CN(C)CCC1CCN(CC1)C(=O)C2CCCCN2C(=O)C=3C=CC=CC3	Z1191669521	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.750819672131148	Compound 2ab
CC(=O)N1CCN(CC1)C(=O)C(CC(C)C)NC(=O)C=2C=CC=CC2C	Z28263463	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.749146757679181	Compound 2ab
CCC(=O)N1CCCN(CC1)C(=O)C2CCCN2C(=O)C=3C=CC=CC3	Z739898982	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.748752079866889	Compound 2ab
C1C(C(C(C(C1N)OC2C(C(C(C(O2)CO)O)N)O)O)OC3C(C(C(C(O3)CN)O)O)N)N 	Target_lig_1286	CC1(COC(C(C1NC)O)OC2C(CC(C(C2O)OC3C(CC=C(O3)CN)N)N)N)O	0.745937961595273	sisomicin
C1C(C(C(C(C1N)OC2C(C(C(C(O2)CO)O)N)O)O)OC3C(C(C(C(O3)CN)O)O)N)N 	Target_lig_1287	CC1(COC(C(C1NC)O)OC2C(CC(C(C2O)OC3C(CC=C(O3)CN)N)N)N)O	0.745937961595273	sisomicin
O([C@@H]1[C@@H](O)[C@@H](O[C@H]2O[C@@H](CC[C@H]2N)CN)[C@@H](N)C[C@H]1NC(=O)C)[C@H]1OC[C@](O)([C@H](NC)[C@H]1O)C 	Target_lig_145	CC1(COC(C(C1NC)O)OC2C(CC(C(C2O)OC3C(CC=C(O3)CN)N)N)N)O	0.744855967078189	sisomicin
C1C(C(C(C(C1N)OC2C(C(C(C(O2)CO)O)N)O)O)OC3C(C(C(C(O3)CO)O)O)N)N 	Target_lig_141	CC1(COC(C(C1NC)O)OC2C(CC(C(C2O)OC3C(CC=C(O3)CN)N)N)N)O	0.744837758112094	sisomicin
C1C(C(C(C(C1N)OC2C(C(C(C(O2)CO)O)N)O)O)OC3C(CC(C(O3)CN)O)N)N 	Target_lig_6	CC1(COC(C(C1NC)O)OC2C(CC(C(C2O)OC3C(CC=C(O3)CN)N)N)N)O	0.742559523809524	sisomicin
C1C(C(C(C(C1N)OC2C(C(C(C(O2)CO)O)N)O)O)OC3C(CC(C(O3)CN)O)N)N	Target_lig_1117	CC1(COC(C(C1NC)O)OC2C(CC(C(C2O)OC3C(CC=C(O3)CN)N)N)N)O	0.742559523809524	sisomicin
C1C(C(C(C(C1N)OC2C(C(C(C(O2)CO)O)N)O)O)OC3C(CC(C(O3)CN)O)N)N	Target_lig_1433	CC1(COC(C(C1NC)O)OC2C(CC(C(C2O)OC3C(CC=C(O3)CN)N)N)N)O	0.742559523809524	sisomicin
CC[C@H](C)[C@H](NC(=O)C=1C=CC=CC1)C(=O)N2CCN(CC2)C(=O)C=3C=CC=CC3	Z85920605	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.742372881355932	Compound 2ab
CC=1C=C(C)C=C(C1)C(=O)N2CCCCC2C(=O)N3CCC(CC3)N(C)C	Z1583729047	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.739336492890995	Compound 2ab
NCC1OC(OC2C(N)CC(C(C2O)OC2OC(CN)C(C(C2O)N)O)N)C(CC1O)N	Target_lig_1158	CC1(COC(C(C1NC)O)OC2C(CC(C(C2O)OC3C(CC=C(O3)CN)N)N)N)O	0.739259259259259	sisomicin
CC(C)NC(=O)CN1CCN(CC1)C(=O)C2CCCN2C(=O)C=3C=CC=CC3	Z300632912	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.737976782752902	Compound 2ab
CC(NC(=O)C=1C=CC(=CC1)C(C)(C)C)C(=O)N2CCN3CCC2CC3	Z1819307132	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.735849056603773	Compound 2ab
CC=1C=CC=CC1C(=O)NC(CC(C)C)C(=O)N2CCN(CC2)C3CC3	Z899906486	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.735	Compound 2ab
CN1CCN(CC1)C(=O)C2(CCCC2)NC(=O)C=3C=CC(=CC3)C(F)(F)F	Z1082377084	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.733858267716535	Compound 2ab
CC(C)C(NC(=O)C=1C=CC=CC1)C(=O)N2CCC(CC2)C(=O)C=3C=CC=CC3	Z229948768	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.731270358306189	Compound 2ab
O=C(CNC(=O)C1CCCCN1C(=O)C=2C=CC=CC2)NC3CCCCC3	Z941342534	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.730392156862745	Compound 2ab
CC(C)N1CCC(NC(=O)C2CCCCN2C(=O)C=3C=CC=CC3)C1=O	Z1207251960	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.729984301412873	Compound 2ab
CC(C)CC(=O)N1CCC(CC1)NC(=O)C2CCCCN2C(=O)C=3C=CC=CC3	Z1128486254	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.729166666666667	Compound 2ab
C1C(C(C(C(C1N)OC2C(C(C(C(O2)CN)O)O)O)O)OC3C(C(C(C(O3)CO)O)N)O)N 	Target_lig_1272	CC1(COC(C(C1NC)O)OC2C(CC(C(C2O)OC3C(CC=C(O3)CN)N)N)N)O	0.727810650887574	sisomicin
C1C(C(C(C(C1N)OC2C(C(C(C(O2)CN)O)O)O)O)OC3C(C(C(C(O3)CO)O)N)O)N	Target_lig_1438	CC1(COC(C(C1NC)O)OC2C(CC(C(C2O)OC3C(CC=C(O3)CN)N)N)N)O	0.727810650887574	sisomicin
O=C(C=1C=CC=CC1)N2CCCC2C(=O)N3CCC(CC3)N4CCCCC4=O	Z1433378068	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.727564102564102	Compound 2ab
CC(=O)NCC1CCN(CC1)C(=O)C(NC(=O)C2=CC=CC(C)=C2)C(C)C	Z435464472	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.722033898305085	Compound 2ab
O=C(NCCNC(=O)C1CCCN1C(=O)C=2C=CC=CC2)C=3C=CC=CC3	Z301707022	c1cc(ccc1C(=O)C)C(=O)N[C@H](C(=O)N1C[C@H](C[C@H](C1)N)N)CCCNC(=N)N	0.720538720538721	benzamide derivative
CC(=O)NC1CCCN(C1)C(=O)C2CCCN2C(=O)C3=CC=CC=C3O	Z728564636	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.72	Compound 2ab
CC(C)CN1CCC(CC1)NC(=O)C2CCCCN2C(=O)C=3C=CC=CC3	Z1128559409	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.718196457326892	Compound 2ab
CC(NC(=O)C1CCCCN1C(=O)C=2C=CC=CC2)C(C)N3CCOCC3	Z1129765854	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.71608832807571	Compound 2ab
Cl.NCC=1C=CC(=CC1)C(=O)NC2CCC(=O)NC2=O	Z1686823643	c1cc(ccc1C(=O)C)C(=O)N[C@H](C(=O)N1C[C@H](C[C@H](C1)N)N)CCCNC(=N)N	0.715563506261181	benzamide derivative
CCNC(=O)C=1C=CC(=CC1)CNC(=O)C2CCCCN2C(=O)C=3C=CC=CC3	Z451397810	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.714754098360656	Compound 2ab
CCC(C)NC(=O)CCNC(=O)C1CCCCN1C(=O)C=2C=CC=CC2	Z980085254	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.711726384364821	Compound 2ab
O=C(CNC(=O)C1CCCN1C(=O)C=2C=CC=CC2)NC3CCCCC3	Z941343108	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.708943089430894	Compound 2ab
NCC1OC(OC2C(N)CC(C(C2O)OC2OC(CN)C(CC2N)O)N)C(C(C1O)OC1OC(CO)C(C(C1O)O)N)O	Target_lig_1159	CC1(COC(C(C1NC)O)OC2C(CC(C(C2O)OC3C(CC=C(O3)CN)N)N)N)O	0.708879184861718	sisomicin
O=C(NCCC=1C=CC(=CC1)C(F)(F)F)C2CCCCN2C(=O)C=3C=CC=CC3	Z295503012	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.708722741433022	Compound 2ab
