RNA_VS_library	Mol_ID	DrugBank_molecule	Max_TC	DrugBank_ID
CCN1/C(=C\C=C\C=C\c2sc3c([n+]2CC)cccc3)/Sc2c1cccc2	DRTL_1	CCN1C(=CC=CC=Cc2sc3ccccc3[n+]2CC)Sc2ccccc21	1	DB11516
CCOc1ccc2c(c1)c(N)c1c([nH+]2)cc(cc1)N	DRTL_8	CCOc1ccc2nc3cc(N)ccc3c(N)c2c1	1	DB13190
CC=1N=C(SC1C(=O)O)C=2C=CC(OCC(C)C)=C(C#N)C2	Z1541759499	Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O	1	DB04854
[O-][N+](=O)C=1C=CC=CC1C2=CC=C(O2)C(=O)O	Z57441700	O=C(O)c1ccc(-c2ccccc2[N+](=O)[O-])o1	1	DB07408
CC=1N=C2C=CC=CN2C(=O)C1CCN3CCC=4OC=5C=CC=CC5C4C3	Z2417820442	Cc1nc2ccccn2c(=O)c1CCN1CCc2oc3ccccc3c2C1	1	DB06553
CCC1=C[C@@H]2[C@@H](C[C@]2(CN)CC(=O)O)C1	Z1509045169	CCC1=C[C@@H]2[C@H](C1)C[C@]2(CN)CC(=O)O	1	DB11825
NCC(CC(=O)O)C=1C=CC(Cl)=CC1	Z1269146769	NC[C@H](CC(=O)O)c1ccc(Cl)cc1	1	DB00181
NC=1C=CN(C(=O)N1)[C@H]2CS[C@@H](CO)O2	Z754931268	Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1	1	DB00709
Cl.CC=1C=CC=C(C1)CC(N)C(=O)O	Z2470414651	Cc1cccc(C[C@H]([NH3+])C(=O)[O-])c1	1	DB02685
NCC=1C=CC(=CC1)C2=CC=CS2	Z756110816	NCc1ccc(-c2cccs2)cc1	1	DB07259
O=C(O)[C@H]1C[C@H](O)[C@H](O)CO1 |&1:3,5,7,r|	Z3664725069	O=C(O)[C@@H]1C[C@H](O)[C@@H](O)CO1	1	DB02227
Cl.NCC(O)C=1C=CC=C(C1)C(F)(F)F	Z1211228970	NC[C@H](O)c1cccc(C(F)(F)F)c1	1	DB08129
OC(CNC=1C=CC=CN1)C=2C=CC=CC2	Z31268347	O[C@@H](CNc1ccccn1)c1ccccc1	1	DB13414
NC(CC1=CNC2=NC=CC=C12)C(=O)O	Z1274773112	[NH3+][C@@H](Cc1c[nH]c2ncccc12)C(=O)[O-]	1	DB04206
C[C@](N)(CC=1C=CC(O)=CC1)C(=O)O	Z1255434943	C[C@](N)(Cc1ccc(O)cc1)C(=O)O	1	DB00765
O=C1NC=NC2=C1N=CN2[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O	Z2681890654	O=c1nc[nH]c2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O	1	DB04335
NC=1C=CN(C(=O)N1)[C@H]2CC[C@@H](CO)O2	Z1550648753	Nc1ccn([C@H]2CC[C@@H](CO)O2)c(=O)n1	1	DB00943
NC(=O)NC1NC(=O)NC1=O	Z104486690	NC(=O)N[C@H]1NC(=O)NC1=O	1	DB11100
NCCC1=CNC2=CC=CC=C12	Z104478080	NCCc1c[nH]c2ccccc12	1	DB08653
NCCC(=O)N[C@H](CC1=CNC=N1)C(=O)O	Z1543388927	NCCC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)O	1	DB11695
CC(=O)N1CCC[C@@H]1C(=O)O	Z1078490036	CC(=O)N1CCC[C@H]1C(=O)O	1	DB03360
Cl.Cl.CN1C=NC(=C1)C[C@H](N)C(=O)O	Z3005524545	Cn1cnc(C[C@H](N)C(=O)O)c1	1	DB04151
Cl.NCC(CC(=O)O)C=1C=CC=CC1	Z1741966111	NC[C@H](CC(=O)O)c1ccccc1	1	DB13455
NC(=O)N[C@@H](CC=1C=CC=CC1)C(=O)O	Z360054534	NC(=O)N[C@@H](Cc1ccccc1)C(=O)O	1	DB04058
N[C@H](CC1=CNC=N1)C(=O)O	Z1079168982	N[C@@H](Cc1cnc[nH]1)C(=O)O	1	DB00117
N[C@H](CC1CCCCC1)C(=O)O	Z995228686	[NH3+][C@@H](CC1CCCCC1)C(=O)[O-]	1	DB02884
Cl.Cl.NCC1=CC=C(O1)C=2C=CC=NC2	Z7470250332	NCc1ccc(-c2cccnc2)o1	1	DB07621
CC(=O)NC(CC=1C=CC(O)=CC1)C(=O)O	Z239130480	CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O	1	DB11102
NC1=NC2=C(N=CN2CCC(CO)CO)C(=O)N1	Z2025569265	Nc1nc(=O)c2ncn(CCC(CO)CO)c2[nH]1	1	DB00299
N[C@H](CC=1C=CC=CC1)C(=O)O	Z933646062	N[C@@H](Cc1ccccc1)C(=O)O	1	DB00120
NC(CC=1C=CC=C(O)C1)C(=O)O	Z317025828	[NH3+][C@@H](Cc1cccc(O)c1)C(=O)[O-]	1	DB03552
NC(CC1=CNC2=CC=CC=C12)C(=O)O	Z57248626	N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O	1	DB00150
C1=NC=2C(=NC=NC2N1)N3CCOCC3	Z57921676	c1nc(N2CCOCC2)c2[nH]cnc2n1	1	DB08780
NC1=NC(=O)C=2N=CN(COC(CO)CO)C2N1	Z594284200	Nc1nc(=O)c2ncn(COC(CO)CO)c2[nH]1	1	DB01004
CC(=O)N1C[C@H](O)C[C@@H]1C(=O)O	Z1250093582	CC(=O)N1C[C@H](O)C[C@H]1C(=O)O	1	DB13363
Cl.CNCCNS(=O)(=O)C=1C=CC=C2C=NC=CC12	Z1491278660	CNCCNS(=O)(=O)c1cccc2cnccc12	1	DB07997
OCCN1CCN(CCCN2C=3C=CC=CC3SC=4C=CC(Cl)=CC42)CC1	Z1530532754	OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1	1	DB00850
CC(=O)C=1C=CC=2SC=3C=CC=CC3N(CCCN4CCC(CCO)CC4)C2C1	Z2065671295	CC(=O)c1ccc2c(c1)N(CCCN1CCC(CCO)CC1)c1ccccc1S2	1	DB06808
CC[C@](C(C=C1N2Cc3cc4ccccc4nc13)=C(CO1)C2=O)(C1=O)O	94600	CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1	1	DB04690
C1C2CC3CC1CC(C2)(C3)N	NCGC00015036-08	N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2	1	DB00915
CC(COc1ccccc1)N(CC[Cl])Cc1ccccc1	NCGC00015121-16	C[C@H](COc1ccccc1)N(CCCl)Cc1ccccc1	1	DB00925
C[N+](C)(C)CC(O)=O	NCGC00015150-04	C[N+](C)(C)CC(=O)O	1	DB04455
CCN(CC)CCCC(C)Nc1ccnc2cc(ccc12)[Cl]	NCGC00015256-13	CCN(CC)CCC[C@H](C)Nc1ccnc2cc(Cl)ccc12	1	DB00608
CCOC(Nc1ccc(NCc2ccc(cc2)F)nc1N)=O	NCGC00015451-06	CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)nc1N	1	DB06623
C(CCNCCCN)CN	NCGC00015937-02	NCCCCNCCCN	1	DB03566
CCN1C=C(C(O)=O)C(c2cc(c(nc12)N1CCNCC1)F)=O	NCGC00016927-10	CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21	1	DB00467
C1CC1N1C=C(C(O)=O)C(c2cc(c(cc12)N1CCNCC1)F)=O	NCGC00016959-07	O=C([O-])c1cn(C2CC2)c2cc(N3CC[NH2+]CC3)c(F)cc2c1=O	1	DB00537
c1cc2C(c3cc(cc(c3C(c2c(c1)O)=O)O)C(O)=O)=O	NCGC00018199-06	O=C(O)c1cc(O)c2c(c1)C(=O)c1cccc(O)c1C2=O	1	DB13174
C(C(c1ccc(cc1[Cl])[Cl])OCc1ccc(cc1)[Cl])n1ccnc1	NCGC00018258-09	Clc1ccc(CO[C@@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1	1	DB01127
CCOC([C@H](CCc1ccccc1)N[C@@H](C)C(N1CCC[C@@H]1C(O)=O)=O)=O	NCGC00021569-08	CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O	1	DB00584
CS(=O)(=O)OCCCCOS(C)(=O)=O	NCGC00090905-11	CS(=O)(=O)OCCCCOS(C)(=O)=O	1	DB01008
C(C(Cn1cncn1)(c1ccc(cc1F)F)O)n1cncn1	NCGC00095089-11	OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F	1	DB00196
CC(C)(C)c1ccc(cc1)C(CC(c1ccc(cc1)OC)=O)=O	NCGC00095112-04	COc1ccc(C(=O)CC(=O)c2ccc(C(C)(C)C)cc2)cc1	1	DB09495
CC(=O)OCC(CCn1cnc2cnc(N)nc12)COC(C)=O	NCGC00095133-04	CC(=O)OCC(CCn1cnc2cnc(N)nc21)COC(C)=O	1	DB00426
[H][C@@]12CC[C@@H]([C@@]1(C)CC[C@]1([H])[C@@]3([H])CCC(C=C3CC[C@]12[H])=O)OC(CCc1ccccc1)=O	NCGC00159356-02	C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@H]43)[C@@H]1CC[C@@H]2OC(=O)CCc1ccccc1	1	DB00984
C1C(N=C2Nc3ccc(c(c3CN12)[Cl])[Cl])=O	NCGC00161408-02	O=C1CN2Cc3c(ccc(Cl)c3Cl)NC2=N1	1	DB00261
[H][C@]12C=C(C(C[C@@]13CCN(C)[C@]2([H])Cc1ccc(c(c13)O)OC)=O)OC	NCGC00161641-04	COC1=C[C@@H]2[C@@H]3Cc4ccc(OC)c(O)c4[C@]2(CCN3C)CC1=O	1	DB16892
CCOC(N1CCN(CC1)[N+](=NOc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O)[O-])=O	NCGC00165815-05	CCOC(=O)N1CCN(/[N+]([O-])=N/Oc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])CC1	1	DB17257
CCCCN(CCCC)CC(c1cc(cc2C(=Cc3ccc(cc3)[Cl])c3cc(ccc3c12)[Cl])[Cl])O	NCGC00167490-02	CCCCN(CCCC)C[C@@H](O)c1cc(Cl)cc2c1-c1ccc(Cl)cc1/C2=C/c1ccc(Cl)cc1	1	DB06708
CCCCN(CCCC)CCC(c1cc2c(cc(cc2c2cc(ccc12)C(F)(F)F)[Cl])[Cl])O	NCGC00179250-04	CCCCN(CCCC)CC[C@H](O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12	1	DB01218
C(C(O)=O)O.[N-].[N-].[Pt++]	NCGC00181152-01	O=C([O-])C[OH2+]	1	DB03085
CCN(CC)CCN1C(C(Cc2ccc(cc2)OC)=Nc2ccccc12)=O	NCGC00186046-02	CCN(CC)CCn1c(=O)c(Cc2ccc(OC)cc2)nc2ccccc21	1	DB13835
CC(=O)Oc1cc2CN(CCc2s1)C(C(C1CC1)=O)c1ccccc1F	NCGC00188690-02	CC(=O)Oc1cc2c(s1)CCN([C@@H](C(=O)C1CC1)c1ccccc1F)C2	1	DB06209
Cc1ccc(c(c1)NC(Nc1ccc(cc1)c1cccc2c1c(N)n[nH]2)=O)F	NCGC00250403-01	Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1	1	DB06080
Cc1cc(c2c3ccccc3c(Nc3ccc(cc3)Oc3c(cccn3)c3ccnc(N)n3)nn2)sc1	NCGC00263094-01	Cc1csc(-c2nnc(Nc3ccc(Oc4ncccc4-c4ccnc(N)n4)cc3)c3ccccc23)c1	1	DB17197
C(CCN1CCCC1)CNC(Nc1c(C(N)=O)c(ns1)OCc1c(cc(cc1F)[Br])F)=O	NCGC00263100-01	NC(=O)c1c(OCc2c(F)cc(Br)cc2F)nsc1NC(=O)NCCCCN1CCCC1	1	DB12962
Cc1c2cc(ccc2n[nH]1)c1cc(cnc1)OC[C@H](Cc1ccccc1)N	NCGC00263147-01	Cc1[nH]nc2ccc(-c3cncc(OC[C@@H](N)Cc4ccccc4)c3)cc12	1	DB08568
C(CC(O)(P(O)(O)=O)P(O)(O)=O)CN.O.O.O.[Na+]	NCGC00263967-03	[NH3+]CCC[C@](O)(P(=O)(O)O)[P@](=O)([O-])O	1	DB00630
C(CN1CCN(CC1)c1ccnc2cc(ccc12)[Cl])CN1CCN(CC1)c1ccnc2cc(ccc12)[Cl]	NCGC00344515-02	Clc1ccc2c(N3CCN(CCCN4CCN(c5ccnc6cc(Cl)ccc56)CC4)CC3)ccnc2c1	1	DB13941
[H][C@]12CC[C@@]3([H])[C@]4([H])CC[C@@](C)([C@@]4(C)CC[C@@]3([H])[C@@]2(C)COC(C1)=O)O	NCGC00344549-02	C[C@]12COC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O	1	DB00621
C(CN(CCO)Cc1ccc(C=CC(NO)=O)cc1)c1c[nH]c2ccccc12	NCGC00345539-02	O=C(/C=C/c1ccc(CN(CCO)CCc2c[nH]c3ccccc23)cc1)NO	1	DB17034
C=CC(Nc1ccc2c(c1)c(Nc1ccc(c(c1)[Cl])OCc1cccc(c1)F)ncn2)=O	NCGC00346478-02	C=CC(=O)Nc1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1	1	DB18840
Cn1c2ccc(cc2nc1CNc1ccc(cc1)C(N)=N)C(N(CCC(O)=O)c1ccccn1)=O	NCGC00346575-01	Cn1c(CNc2ccc(C(=N)N)cc2)nc2cc(C(=O)N(CCC(=O)O)c3ccccn3)ccc21	1	DB14726
CCS(c1cccc(c1)c1cc(C(NC2CCN(C)CC2)=O)c(C)c2c1c1cc(C)cnc1[nH]2)(=O)=O	NCGC00346645-01	CCS(=O)(=O)c1cccc(-c2cc(C(=O)NC3CCN(C)CC3)c(C)c3[nH]c4ncc(C)cc4c23)c1	1	DB12756
CS(N1CCc2c(c3cnc(N)nc3)nc(nc12)N1CCOCC1)(=O)=O	NCGC00346650-01	CS(=O)(=O)N1CCc2c(-c3cnc(N)nc3)nc(N3CCOCC3)nc21	1	DB13051
Cn1cc(cn1)c1cnn2c(c(c([C@H]3CCCNC3)nc12)[Br])N	NCGC00346653-01	Cn1cc(-c2cnn3c(N)c(Br)c([C@@H]4CCCNC4)nc23)cn1	1	DB11899
COc1cc(C[C@@H](CO)[C@@H](Cc2ccc(c(c2)OC)O)CO)ccc1O	NCGC00346838-01	COc1cc(C[C@@H](CO)[C@H](CO)Cc2ccc(O)c(OC)c2)ccc1O	1	DB12179
CC(C)=CCCC(C)=CCNCCNC1[C@H]2C[C@H]3C[C@@H]1C[C@H](C3)C2	NCGC00348216-02	CC(C)=CCC/C(C)=C/CNCCN[C@H]1[C@@H]2C[C@H]3C[C@@H](C2)C[C@@H]1C3	1	DB05186
CC1=CC(N)=C2C=CC=CC2=[N+]1CCCCCCCCCC[N+]1=C(C)C=C(N)C2=CC=CC=C12	R-BIND_SM_0010	Cc1cc(N)c2ccccc2[n+]1CCCCCCCCCC[n+]1c(C)cc(N)c2ccccc21	1	DB04209
COC1=CC2=C(C=C1)C1=C(N2)C(C)=NC=C1	R-BIND_SM_0012	COc1ccc2c(c1)[nH]c1c(C)nccc12	1	DB07919
C[NH2+][C@H]1CC2OC(C)([C@H]1OC)N1C3=C(C=CC=C3)C3=C1C1=C(C4=C(C=CC=C4)N21)C1=C3CNC1=O	R-BIND_SM_0014	CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4	1	DB02010
CN(C)C1=CC=C2C(C=CC(\C=C\C3=C(C)N(C(C)=C3)C3=CC=CC=C3)=[N+]2C)=C1	R-BIND_SM_0036	Cc1cc(/C=C\c2ccc3cc(N(C)C)ccc3[n+]2C)c(C)n1-c1ccccc1	1	DB06816
C[NH+]1CCC(CC1)=C1C2=C(C=CC=C2)C=CC2=C1C=CC=C2	R-BIND_SM_0048	CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1	1	DB00434
CC1=CN2N=C(C=C(C)C2=N1)C1=CC(=O)N2C=C(C=CC2=N1)N1CC[NH2+]C2(CC2)C1	R-BIND_SM_0092	Cc1cn2nc(-c3cc(=O)n4cc(N5CCNC6(CC6)C5)ccc4n3)cc(C)c2n1	1	DB15305
CC[C@@]1(O)C(=O)OCC2=C1C=C1N(CC3=C1N=C1C=CC(O)=C(C[NH+](C)C)C1=C3)C2=O	R-BIND_SM_0097	CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1	1	DB01030
COC1=C2C(=O)C3=C(C(O)=C4C[C@](O)(C[C@H](O[C@H]5C[C@H]([NH3+])[C@H](O)[C@H](C)O5)C4=C3O)C(C)=O)C(=O)C2=CC=C1	R-BIND_SM_0112	COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1	1	DB00694
O=C(\C=C\C=C\C1=CC=C2OCOC2=C1)N1CCCCC1	R-BIND_SM_0123	O=C(/C=C/C=C/c1ccc2c(c1)OCO2)N1CCCCC1	1	DB12582
C(CCNCCCN)CNCCCN 	Target_lig_0	NCCCNCCCCNCCCN	1	DB00127
CC[N+]1=C2C=C(C=CC2=C3C=CC(=CC3=C1C4=CC=CC=C4)N)N.[Br-] 	Target_lig_1	CC[n+]1c(-c2ccccc2)c2cc(N)ccc2c2ccc(N)cc21	1	DB17031
C1C(C(C(C(C1N)OC2C(C(C(C(O2)CO)O)N)O)O)OC3C(CC(C(O3)CN)O)N)N 	Target_lig_6	NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H](N)C[C@@H]2N)[C@H](N)C[C@@H]1O	1	DB00684
COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC 	Target_lig_15	COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2	1	DB04115
C(C[C@H](C(=O)O)N)CN=C(N)N 	Target_lig_30	NC(N)=NCCC[C@H](N)C(=O)O	1	DB00125
C(CCN=C(N)N)CN 	Target_lig_33	NCCCCN=C(N)N	1	DB08838
C(=O)(N)N 	Target_lig_39	NC(N)=O	1	DB03904
C(C[C@@H](C(=O)O)N)CN 	Target_lig_40	NCCC[C@H](N)C(=O)O	1	DB00129
C(CON=C(N)N)[C@@H](C(=O)O)N 	Target_lig_41	NC(N)=NOCC[C@H](N)C(=O)O	1	DB01833
C(C[C@@H](C(=O)O)N)CNC(=O)N 	Target_lig_42	NC(=O)NCCC[C@H]([NH3+])C(=O)[O-]	1	DB00155
C(=[NH2+])(N)N 	Target_lig_43	N=C(N)N	1	DB00536
CN(CC(=O)O)C(=N)N 	Target_lig_49	CN(CC(=O)[O-])C(=N)[NH3+]	1	DB00148
CN1CC(=O)N=C1N 	Target_lig_50	CN1CC(=O)N=C1N	1	DB11846
C(CN=C(N)N)C(=O)O 	Target_lig_51	NC(N)=NCCC(=O)O	1	DB18819
C(CCN=C(N)N)C[C@@H](C(=O)O)N 	Target_lig_57	NC(N)=NCCCC[C@H](N)C(=O)O	1	DB03974
CC(=O)N[C@@H](CCCN=C(N)N)C(=O)O 	Target_lig_60	CC(=O)N[C@@H](CCCN=C(N)N)C(=O)O	1	DB01985
CC1C(C(C(O1)OC2C(C(C(C(C2O)O)N=C(N)N)O)N=C(N)N)OC3C(C(C(C(O3)CO)O)O)NC)(C=O)O 	Target_lig_63	CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](N=C(N)N)[C@@H](O)[C@@H]3N=C(N)N)O[C@@H](C)[C@]2(O)C=O)O[C@@H](CO)[C@H](O)[C@H]1O	1	DB01082
C(CC(C(=O)N)N)CN=C(N)N 	Target_lig_64	NC(=O)[C@@H](N)CCC[NH+]=C(N)N	1	DB02299
C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)N 	Target_lig_66	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O	1	DB00131
CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(COP(=O)(O)O)O)O)O 	Target_lig_68	Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)c2cc1C	1	DB03247
CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(CO)O)O)O 	Target_lig_70	Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C	1	DB00140
C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)(O)[O-])O)O)C(=O)N 	Target_lig_71	NC(=O)c1ccc[n+]([C@@H]2O[C@@H](COP(=O)(O)O)[C@H](O)[C@H]2O)c1	1	DB03227
CC1CC(=O)C2(C(O1)OC3C(C(C(C(C3O2)NC)O)NC)O)O 	Target_lig_75	CN[C@@H]1[C@H](O)[C@H](NC)[C@H]2O[C@@]3(O)C(=O)C[C@@H](C)O[C@H]3O[C@@H]2[C@H]1O	1	DB00919
CC1=CC2=C(C=C1C)N=CN2 	Target_lig_82	Cc1cc2nc[nH]c2cc1C	1	DB02591
CC(C1CCC(C(O1)OC2C(CC(C(C2O)OC3C(C(C(CO3)(C)O)NC)O)N)N)N)N 	Target_lig_137	CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H]([C@@H](C)N)CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O	1	DB17884
O([C@@H]1[C@@H](O)[C@@H](O[C@H]2O[C@@H](CC[C@H]2N)CN)[C@@H](N)C[C@H]1N)[C@H]1OC[C@](O)([C@H](NC)[C@H]1O)C 	Target_lig_144	CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H](CN)CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O	1	DB04729
CN1C2=C(C(=O)N(C1=O)C)NC=N2 	Target_lig_154	Cn1c(=O)c2[nH]cnc2n(C)c1=O	1	DB00277
CN1C=NC2=C1C(=O)N(C(=O)N2C)C 	Target_lig_155	Cn1c(=O)c2c(ncn2C)n(C)c1=O	1	DB00201
CN1C=NC2=C1C(=O)NC(=O)N2C 	Target_lig_158	Cn1cnc2c1c(=O)[nH]c(=O)n2C	1	DB01412
C1=NC2=C(N1)C(=O)N=CN2 	Target_lig_162	O=c1nc[nH]c2nc[nH]c12	1	DB04076
C1=NC2=C(N1)C(=O)NC(=O)N2 	Target_lig_163	O=c1[nH]c(=O)c2[nH]cnc2[nH]1	1	DB02134
C1=NC2=NC=NC(=C2N1)N 	Target_lig_165	Nc1ncnc2nc[nH]c12	1	DB00173
CCSC1=CC2=C(C=C1)SC3=CC=CC=C3N2CCCN4CCN(CC4)C 	Target_lig_188	CCSc1ccc2c(c1)N(CCCN1CCN(C)CC1)c1ccccc1S2	1	DB00372
CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(CN(C)CCO)O 	Target_lig_192	CN(CCO)C[C@H](O)Cn1cnc2c1c(=O)n(C)c(=O)n2C	1	DB09092
COC(=O)C1C(CCC2C1CC3C4=C(CCN3C2)C5=CC=CC=C5N4)O 	Target_lig_193	COC(=O)[C@@H]1[C@H]2C[C@H]3c4[nH]c5ccccc5c4CCN3C[C@@H]2CC[C@@H]1O	1	DB01392
CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)C(F)(F)F 	Target_lig_204	CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21	1	DB00508
CN(C)CCCN1C2=CC=CC=C2SC3=CC=CC=C31 	Target_lig_206	CN(C)CCCN1c2ccccc2Sc2ccccc21	1	DB00420
CC(=O)OC1C(CNC1CC2=CC=C(C=C2)OC)O 	Target_lig_222	COc1ccc(C[C@H]2NC[C@H](O)[C@H]2OC(C)=O)cc1	1	DB07374
C1C2C(C(S1)CCCCC(=O)O)NC(=O)N2 	Target_lig_227	O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21	1	DB00121
C1=CC(=CC=C1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-] 	Target_lig_228	O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl	1	DB00446
CCN(CC)CCSCC(=O)OC1CC(C(C(C23CCC(C1(C2C(=O)CC3)C)C)C)O)(C)C=C 	Target_lig_236	C=C[C@]1(C)C[C@@H](OC(=O)CSCCN(CC)CC)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O	1	DB11468
C1=NC2=C(N1)C(=O)NC(=N2)N 	Target_lig_248	Nc1nc(=O)c2[nH]cnc2[nH]1	1	DB02377
CC1=C(C(=O)NC(=O)N1)C=CC(=O)NC(CO)CS(=O)CSC 	Target_lig_306	CSC[S@](=O)C[C@H](CO)NC(=O)/C=C/c1c(C)[nH]c(=O)[nH]c1=O	1	DB04222
CC(=O)NCC1CN(C(=O)O1)C2=CC(=C(C=C2)N3CCOCC3)F 	Target_lig_307	CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1	1	DB00601
CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=CC=C3.[Cl-] 	Target_lig_308	CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1	1	DB00406
CN(C)C1=NC=NC2=C1N=CN2C3C(C(C(O3)CO)NC(=O)C(CC4=CC=C(C=C4)OC)N)O 	Target_lig_312	COc1ccc(C[C@H](N)C(=O)N[C@H]2[C@@H](O)[C@H](n3cnc4c(N(C)C)ncnc43)O[C@@H]2CO)cc1	1	DB08437
C[S+](CCC(C(=O)[O-])N)CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O 	Target_lig_314	C[S@@+](CC[C@H](N)C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O	1	DB00118
CCCC1CC(N(C1)C)C(=O)NC(C2C(C(C(C(O2)SC)O)O)O)C(C)Cl 	Target_lig_324	CCC[C@@H]1C[C@@H](C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@H](C)Cl)N(C)C1	1	DB01190
CC(=O)NCC1CN(C(=O)O1)C2=CC(=C(C=C2)C3=CC=C(C=C3)CNCC4=NNN=C4)F 	Target_lig_330	CC(=O)NC[C@H]1CN(c2ccc(-c3ccc(CNCc4cn[nH]n4)cc3)c(F)c2)C(=O)O1	1	DB12339
C(CCN)CC(C(=O)O)N 	Target_lig_332	NCCCC[C@H](N)C(=O)O	1	DB00123
C1=CC(=CC2=NC3=C(C=CC(=C3)N)C=C21)N 	Target_lig_336	Nc1ccc2cc3ccc(N)cc3nc2c1	1	DB01123
CN(C)C1=CC2=C(C=C1)N=C3C=CC(=[N+](C)C)C=C3S2.[Cl-] 	Target_lig_339	CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1	1	DB08167
CCN(CC)CCCC(C)NC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC 	Target_lig_340	CCN(CC)CCC[C@H](C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12	1	DB01103
