RNA_VS_library	Mol_ID	DrugBank_molecule	Max_TC	DrugBank_ID
COC=1C=CC=C(C1)N2CCC(CC2)NCC=3C=CC=4NC=NC4C3	Z1071110792	O=C(c1ccc2nccnc2c1)N1CCCCC1	0.570754716981132	DB06247
C(c1ccc(cc1)c1nc(c2ccc(c(c2)F)F)nn1CCO)N	31242301	Fc1ccc(-c2nc(-c3ccccc3)n[nH]2)cc1	0.570754716981132	DB08470
CCN1C(=O)C2=CC=CC3=C(C=CC1=C23)S(=O)(=O)NC=4C=CC(C)=CN4	Z56879666	O=C1CC[C@H](N2C(=O)c3cccc4c(Cc5ccc(CN6CCOCC6)cc5)ccc2c34)C(=O)N1	0.570748299319728	DB18400
CSC=1C=C(C=CN1)C(=O)NC2=CC(=NN2)C(F)(F)F	Z1435981193	O=C(Nc1cc(C2CC2)[nH]n1)c1ccccc1	0.570747217806041	DB02647
CN1N=CN=C1CN2CCCC2C(=O)N3CCSCC3	Z1262447489	O=C1CC[C@H](C(=O)N2CCCCC2)N1	0.570743405275779	DB16163
NCC(CO)CC=1C=C(F)C=CC1F	Z415635638	N[C@@H](Cc1ccccc1)C(O)O	0.570731707317073	DB07910
COCCN1C=C(CNC(=O)CCC=2C(=O)NC=3NNC(=O)C3C2C)C(=O)NC1=O	Z4898006378	CC(=O)c1c(C)c2cnc(Nc3ccc(C4CCNCC4)cn3)nc2n(C2CCCC2)c1=O	0.570725707257073	DB17456
NC(=O)CN1CCCN(CC1)C(=O)C2CCCN(C2)C=3N=CC=CN3	Z822253550	O=C1[C@@H]2[C@H]3CC[C@H](C3)[C@@H]2C(=O)N1CCCCN1CCN(c2ncccn2)CC1	0.570723684210526	DB12833
NC(=O)C=1C=CC=C(C1)CNC(C=2C=CC(Cl)=CC2)C3CCCC3	Z1135285629	O=C(NC[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1cc(CCCNCCCO)ccc1Cl	0.570723684210526	DB12594
COC=1C=CC(=CC1)C(=O)NC2=C(N=C3C=CC(Cl)=CN23)C4=CC=CS4	Z1213729237	Cc1c(C(=O)O)ccc2c3n(nc12)[C@@H]1[C@H](C3)N(CC2CC2)[C@@]2(C(=O)Nc3cc(Cl)ccc32)[C@H]1c1cccc(Cl)c1F	0.570717131474104	DB18578
